student_id,age,gender,year_of_study,course,attendance_percentage,cgpa,study_hours_per_day,assignment_workload,exam_frequency,academic_pressure,sleep_hours,sleep_quality,screen_time_hours,physical_activity_hours,social_interaction_hours,breaks_per_day,hobbies_hours_per_week,days_off_per_week,academic_pressure_score,lifestyle_balance_score,burnout_score,burnout_risk
STU0001,20,Male,3,Business,89.1,7.54,5.0,3,5,3,6.9,9,7.1,6.0,10.0,4,9.7,2,37.31,61.24,46.29,Moderate
STU0002,24,Male,1,Medicine,81.9,7.24,7.6,7,4,6,6.2,6,8.1,3.2,8.5,4,5.7,1,59.28,43.8,65.37,High
STU0003,21,Female,4,Design,82.7,9.45,8.0,7,1,6,6.4,4,8.1,6.7,9.0,4,7.2,2,46.8,49.21,37.86,Moderate
STU0004,21,Male,3,Engineering,73.7,8.67,7.9,9,5,8,4.6,3,7.7,4.3,2.6,2,6.2,0,73.74,29.56,80.3,Very High
STU0005,19,Male,1,Commerce,77.9,5.79,5.5,7,2,8,5.9,4,8.7,2.9,7.7,4,2.1,1,61.28,35.67,66.54,High
STU0006,19,Male,4,Engineering,64.8,7.38,10.1,8,2,10,4.8,3,10.8,3.9,0.4,3,6.3,1,74.09,27.84,77.74,High
STU0007,18,Male,2,Engineering,89.3,7.74,5.4,5,2,4,7.6,9,5.3,3.2,12.3,7,10.3,2,37.16,66.41,19.55,Low
STU0008,22,Female,1,Commerce,71.0,6.62,6.3,4,4,5,6.0,6,8.4,3.6,9.0,2,1.5,1,49.38,38.43,44.5,Moderate
STU0009,21,Male,3,Medicine,75.3,7.15,9.7,9,3,7,6.0,6,9.9,3.4,10.5,4,6.8,1,68.17,43.19,60.66,High
STU0010,21,Female,1,Commerce,72.3,6.2,4.8,7,2,8,5.2,6,8.3,4.5,8.1,3,4.7,1,60.95,40.55,46.66,Moderate
STU0011,18,Male,4,Engineering,73.5,7.96,8.8,8,2,6,7.5,6,10.1,3.7,6.9,3,3.3,1,57.26,42.31,70.36,High
STU0012,25,Female,4,Engineering,75.1,8.29,5.8,3,4,4,7.5,7,6.9,5.7,15.8,5,8.7,2,39.39,62.88,31.84,Moderate
STU0013,22,Female,4,Computer Science,81.7,6.92,6.8,6,1,8,4.9,6,7.6,4.6,10.8,4,4.2,2,54.07,44.58,45.89,Moderate
STU0014,19,Female,2,Computer Science,95.1,7.56,4.4,8,1,4,7.9,9,9.5,4.5,10.8,5,5.8,2,40.99,58.13,38.39,Moderate
STU0015,19,Male,2,Engineering,75.3,7.1,6.9,8,1,9,6.6,6,8.6,2.9,3.2,3,7.0,2,63.81,42.55,58.97,Moderate
STU0016,19,Female,3,Computer Science,81.3,7.72,5.8,6,4,6,6.8,7,8.5,3.9,6.2,5,6.0,2,54.31,49.74,54.22,Moderate
STU0017,20,Male,1,Computer Science,90.3,7.7,4.3,3,2,2,8.5,8,8.1,5.0,15.2,6,8.2,3,23.92,67.26,11.31,Low
STU0018,20,Female,3,Design,78.2,7.92,7.0,7,0,7,5.1,4,9.4,4.0,8.2,3,2.7,0,49.6,31.96,48.88,Moderate
STU0019,20,Female,3,Computer Science,84.7,8.82,4.7,4,3,3,8.4,7,8.3,5.4,19.5,6,11.1,3,32.43,69.76,27.01,Low
STU0020,19,Male,1,Commerce,66.1,8.31,7.7,7,4,9,6.6,2,8.7,2.8,6.0,1,1.5,0,70.22,27.52,75.55,High
STU0021,21,Female,2,Engineering,71.3,7.52,7.5,5,0,6,6.0,7,5.8,4.3,9.3,5,5.9,2,42.94,52.65,43.28,Moderate
STU0022,19,Female,4,Business,62.3,6.91,4.9,7,1,5,6.2,5,7.5,4.0,7.9,5,7.3,1,48.52,46.04,52.52,Moderate
STU0023,19,Male,4,Medicine,92.1,8.34,8.7,10,3,8,5.4,5,7.0,5.0,11.1,1,7.9,1,68.67,42.83,71.27,High
STU0024,20,Female,1,Engineering,80.7,7.32,5.6,4,1,4,7.6,8,5.1,8.1,11.0,4,12.1,2,33.68,69.13,31.67,Moderate
STU0025,20,Female,1,Medicine,90.6,6.36,4.5,3,0,3,9.5,10,4.7,5.5,11.8,6,9.0,2,23.61,75.29,27.74,Low
STU0026,22,Female,1,Engineering,76.9,7.65,7.1,6,1,6,7.6,7,8.3,4.6,8.3,4,7.1,2,47.24,53.84,46.03,Moderate
STU0027,19,Male,4,Commerce,78.4,7.04,4.8,7,2,6,6.9,7,7.7,5.2,10.2,2,4.3,2,51.87,50.01,62.51,High
STU0028,20,Male,1,Computer Science,86.1,7.43,2.2,2,0,1,7.9,10,7.4,6.6,15.0,7,12.8,2,11.21,74.63,23.35,Low
STU0029,21,Male,3,Arts,93.0,8.14,5.9,4,1,6,6.6,6,8.0,6.8,9.3,5,9.2,3,37.18,57.78,18.94,Low
STU0030,18,Male,1,Engineering,91.4,8.04,6.9,4,1,5,8.0,9,9.0,5.7,15.1,4,6.6,2,35.12,62.22,39.36,Moderate
STU0031,21,Female,3,Engineering,89.5,9.26,8.3,8,3,6,6.1,6,10.0,2.3,7.5,3,8.4,1,55.01,40.02,72.04,High
STU0032,19,Female,2,Commerce,62.8,6.9,7.3,8,4,8,4.0,5,9.5,2.9,2.8,2,2.2,1,72.23,26.1,82.24,Very High
STU0033,18,Male,4,Engineering,73.5,8.55,8.3,8,2,5,6.3,6,7.8,2.7,12.0,5,5.3,2,52.53,48.08,48.6,Moderate
STU0034,24,Female,1,Business,78.0,7.79,4.7,8,4,8,6.4,5,7.0,2.2,5.0,4,2.1,1,66.04,38.32,69.71,High
STU0035,25,Female,3,Medicine,79.5,8.39,7.3,5,3,4,7.0,7,3.9,2.3,11.0,5,6.2,2,42.29,55.75,36.65,Moderate
STU0036,22,Female,1,Commerce,90.3,7.47,3.3,2,2,2,6.8,9,4.9,7.5,15.1,6,9.5,2,20.69,70.66,23.55,Low
STU0037,20,Female,3,Computer Science,65.0,8.04,6.2,6,1,5,8.5,6,10.0,3.7,8.2,5,9.8,2,44.49,54.43,39.67,Moderate
STU0038,19,Other,4,Business,65.6,6.52,7.1,8,2,7,5.7,6,6.7,3.9,12.7,4,6.7,1,62.89,47.8,58.56,Moderate
STU0039,21,Female,1,Design,63.5,6.5,5.0,5,0,5,5.3,6,8.8,4.8,6.9,4,9.2,1,40.53,44.35,63.66,High
STU0040,20,Male,4,Computer Science,87.0,8.19,6.0,5,1,3,9.2,8,8.7,7.0,12.2,6,8.4,2,30.96,68.53,18.71,Low
STU0041,19,Female,3,Computer Science,92.5,8.2,4.4,1,0,2,8.3,10,8.3,4.9,15.9,8,15.0,2,11.25,75.35,23.35,Low
STU0042,20,Other,1,Engineering,97.1,7.45,4.5,6,2,6,6.8,8,5.6,4.3,13.6,4,6.2,1,45.04,56.27,39.05,Moderate
STU0043,18,Female,2,Arts,83.2,7.18,4.1,3,0,1,8.6,10,5.0,6.1,15.5,7,12.0,2,16.47,78.37,12.46,Low
STU0044,23,Female,1,Engineering,76.9,8.41,8.5,9,4,8,5.1,4,10.4,1.5,11.0,2,3.6,0,71.14,27.8,74.94,High
STU0045,19,Male,3,Medicine,63.3,8.11,10.0,9,4,9,5.0,5,10.6,3.0,6.4,3,3.5,0,78.49,30.09,74.42,High
STU0046,21,Male,3,Computer Science,71.5,8.08,5.9,5,0,6,6.7,5,9.8,0.7,6.6,4,3.2,1,40.64,35.23,55.27,Moderate
STU0047,20,Female,1,Engineering,78.6,6.98,5.0,5,5,5,6.5,9,7.6,6.3,9.1,5,6.3,2,52.21,58.5,46.49,Moderate
STU0048,20,Female,2,Commerce,67.5,7.5,8.1,8,2,7,6.4,5,8.4,4.0,11.5,3,3.8,1,61.78,42.54,58.46,Moderate
STU0049,20,Female,4,Arts,75.1,7.4,6.0,5,3,7,5.2,5,7.5,3.5,6.0,2,7.1,0,53.59,35.94,59.55,Moderate
STU0050,19,Female,4,Medicine,66.6,8.25,5.9,5,1,4,7.3,8,6.8,5.9,9.5,4,9.8,1,37.51,59.06,38.51,Moderate
STU0051,25,Female,2,Design,80.7,6.28,4.6,6,1,3,5.9,7,7.1,6.2,15.4,5,11.5,3,36.81,62.16,35.56,Moderate
STU0052,22,Female,4,Medicine,89.2,9.77,8.2,7,1,5,7.9,9,8.0,4.5,10.3,5,5.3,2,42.02,59.27,41.81,Moderate
STU0053,24,Female,3,Computer Science,88.7,7.51,4.4,8,2,5,7.4,8,8.8,3.3,7.0,5,11.8,1,48.48,54.47,43.25,Moderate
STU0054,23,Female,2,Engineering,93.0,7.4,6.0,6,1,3,7.7,8,6.5,6.6,14.2,6,9.3,2,34.06,67.78,44.23,Moderate
STU0055,21,Male,4,Commerce,71.4,6.81,6.3,6,2,6,6.4,6,8.5,3.8,8.5,5,8.3,2,51.89,49.46,39.12,Moderate
STU0056,23,Other,2,Arts,74.5,5.5,5.0,2,1,5,6.9,6,6.0,4.5,6.4,4,8.2,1,35.03,50.79,31.4,Moderate
STU0057,19,Male,2,Business,81.5,7.96,5.2,5,0,6,6.7,6,9.0,3.3,7.0,5,3.8,1,38.59,43.57,59.39,Moderate
STU0058,19,Female,2,Computer Science,85.9,8.79,7.6,8,1,5,8.1,7,9.6,3.4,9.5,4,6.8,2,46.48,52.37,52.41,Moderate
STU0059,18,Female,4,Computer Science,79.9,7.79,5.0,6,0,4,7.3,9,7.3,3.6,11.3,4,7.7,1,35.09,56.2,30.06,Moderate
STU0060,20,Male,4,Computer Science,81.0,7.24,6.0,5,1,7,5.3,6,7.7,5.1,11.8,4,3.3,1,46.88,44.59,56.51,Moderate
STU0061,20,Female,2,Arts,85.2,6.99,4.2,5,1,5,5.9,6,5.7,1.3,7.1,1,6.7,1,38.43,39.08,44.86,Moderate
